Town,Korean,Hanja,Provincial,Municipal,"Area
"
Geumsa,±İ»ç¸é,"ÑÑŞŞØü
",Gyeonggi,Yeoju,"41.71
"
Sanbuk,»êºÏ¸é,"ß£İÁØü
",Gyeonggi,Yeoju,"32.86
"
Daesin,´ë½Å¸é,"ÓŞãêØü
",Gyeonggi,Yeoju,"75.87
"
Bungnae,ºÏ³»¸é,"İÁÒ®Øü
",Gyeonggi,Yeoju,"65.75
"
Geumsa,°­Ãµ¸é,"Ë¬ô¹Øü
",Gyeonggi,Yeoju,"74.05
"
Gunnamn,±º³²¸é,"ÏÛÑõØü
",Gyeonggi,Yeoncheon County,"45.62
"
Cheongsan,Ã»»ê¸é,"ôìß£Øü
",Gyeonggi,Yeoncheon County,"43.72
"
Baekhak,¹éÇĞ¸é,"ÛİùÍØü
",Gyeonggi,Yeoncheon County,"61.27
"
Misan,¹Ì»ê¸é,"Ú®ß£Øü
",Gyeonggi,Yeoncheon County,"40.9
"
Wangjing,¿ÕÂ¡¸é,"èÚó¥Øü
",Gyeonggi,Yeoncheon County,"85.9
"
Sinseo,½Å¼­¸é,"ãæà¤Øü
",Gyeonggi,Yeoncheon County,"131.81
"
Jung,Áß¸é,"ñéØü
",Gyeonggi,Yeoncheon County,"95.03
"
Jangnam,Àå³²¸é,"íşÑõØü
",Gyeonggi,Yeoncheon County,"56.17
"
Seorak,¼³¾Ç¸é,"àää¿Øü
",Gyeonggi,Gapyeong County,"141.5
"
Cheongpyeong,Ã»Æò¸é,"ôèøÁØü
",Gyeonggi,Gapyeong County,"112.26
"
Sang,»ó¸é,"ß¾Øü
",Gyeonggi,Gapyeong County,"100.74
"
Ha,ÇÏ¸é,"ù»Øü
",Gyeonggi,Gapyeong County,"113.06
"
Buk,ºÏ¸é,"İÁØü
",Gyeonggi,Gapyeong County,"230.96
"
Gangsang,°­»ó¸é,"Ë°ß¾Øü
",Gyeonggi,Yangpyeong County,"37.91
"
Gangha,°­ÇÏ¸é,"Ë°ù»Øü
",Gyeonggi,Yangpyeong County,"31.4
"
Yangseo,¾ç¼­¸é,"åÅà¤Øü
",Gyeonggi,Yangpyeong County,"59.95
"
Okcheon,¿ÁÃµ¸é,"è¬ô»Øü
",Gyeonggi,Yangpyeong County,"65.85
"
Seojong,¼­Á¾¸é,"à¤ğóØü
",Gyeonggi,Yangpyeong County,"92.84
"
Danwol,´Ü¿ù¸é,"Ó¡êÅØü
",Gyeonggi,Yangpyeong County,"107.94
"
Cheongun,Ã»¿î¸é,"ôìê£Øü
",Gyeonggi,Yangpyeong County,"96.59
"
Yangdong,¾çµ¿¸é,"åÅÔÔØü
",Gyeonggi,Yangpyeong County,"120.4
"
Jipyeong,ÁöÆò¸é,"ò²øÁØü
",Gyeonggi,Yangpyeong County,"77.79
"
Yongmun,¿ë¹®¸é,"×£Ú¦Øü
",Gyeonggi,Yangpyeong County,"102.24
"
Gaegun,°³±º¸é,"Ë¿ÏÚØü
",Gyeonggi,Yangpyeong County,"32.45
"
Socho,¼ÒÃÊ¸é,"á¶õ®Øü
",Gangwon,Wonju,"103.08
"
Hojeo,È£Àú¸é,"û¿î¿Øü
",Gangwon,Wonju,"76.97
"
Jijeong,ÁöÁ¤¸é,"ò¢ïáØü
",Gangwon,Wonju,"89.70
"
Buron,ºÎ·Ğ¸é,"İ£ÖåØü
",Gangwon,Wonju,"82.67
"
Gwirae,±Í·¡¸é,"ÏşÕÎØü
",Gangwon,Wonju,"76.55
"
Heungeop,Èï¾÷¸é,"ıéåöØü
",Gangwon,Wonju,"59.59
"
Panbu,ÆÇºÎ¸é,"÷ùİ£Øü
",Gangwon,Wonju,"67.72
"
Sinrim,½Å¸²¸é,"ãê×ùØü
",Gangwon,Wonju,"127.41
"
Dong,µ¿¸é,"ÔÔØü
",Gangwon,Chuncheon,"134.2
"
Dongsan,µ¿»ê¸é,"ÔÔß£Øü
",Gangwon,Chuncheon,"80.81
"
Dongsan,½Åµ¿¸é,"ãæÔÔØü
",Gangwon,Chuncheon,"48.19
"
Nam,³²¸é,"ÑõØü
",Gangwon,Chuncheon,"73.2
"
Seo,¼­¸é,"à¤Øü
",Gangwon,Chuncheon,"141.64
"
Sabuk,»çºÏ¸é,"ŞÈİÁØü
",Gangwon,Chuncheon,"152.57
"
Buksan,ºÏ»ê¸é,"İÁß£Øü
",Gangwon,Chuncheon,"214.98
"
Dongnae,µ¿³»¸é,"ÔÔÒ®Øü
",Gangwon,Chuncheon,"36.62
"
Namsan,³²»ê¸é,"Ñõß£Øü
",Gangwon,Chuncheon,"124.11
"
Seongsan,¼º»ê¸é,"àòß£Øü
",Gangwon,Gangneung,"80.28
"
Wangsan,¿Õ»ê¸é,"èİß£Øü
",Gangwon,Gangneung,"245.28
"
Gujeong,±¸Á¤¸é,"ÏÈïÌØü
",Gangwon,Gangneung,"42.72
"
Gangdong,°­µ¿¸é,"Ë°ÔÔØü
",Gangwon,Gangneung,"112.48
"
Okgye,¿Á°è¸é,"è¬Í¢Øü
",Gangwon,Gangneung,"148.83
"
Sacheon,»çÃµ¸é,"ŞŞô¹Øü
",Gangwon,Gangneung,"70.89
"
Yeongok,¿¬°î¸é,"Ö§ÍÛØü
",Gangwon,Gangneung,"202.45
"
Geundeok,±Ù´ö¸é,"ĞÎÓìØü
",Gangwon,Samcheok,"133.41
"
Hajang,ÇÏÀå¸é,"ù»íşØü
",Gangwon,Samcheok,"205.68
"
Nogok,³ë°î¸é,"ÖÔÍÛØü
",Gangwon,Samcheok,"144.67
"
Miro,¹Ì·Î¸é,"Ú±ÖÕØü
",Gangwon,Samcheok,"99.44
"
Gagok,°¡°î¸é,"Ê¯ÍÛØü
",Gangwon,Samcheok,"152.39
"
Singi,½Å±â¸é,"ãæĞñØü
",Gangwon,Samcheok,"56.33
"
Hwachon,È­ÃÌ¸é,"ûùõ½Øü
",Gangwon,Hongcheon County,"211.36
"
Duchon,µÎÃÌ¸é,"Ôàõ½Øü
",Gangwon,Hongcheon County,"140.48
"
Naechon,³»ÃÌ¸é,"Ò¬õ½Øü
",Gangwon,Hongcheon County,"146.72
"
Seoseok,¼­¼®¸é,"ßúà´Øü
",Gangwon,Hongcheon County,"225.46
"
Dong,µ¿¸é,"ÔÔØü
",Gangwon,Hongcheon County,"149.63
"
Nam,³²¸é,"ÑõØü
",Gangwon,Hongcheon County,"120.34
"
Seo,¼­¸é,"à¤Øü
",Gangwon,Hongcheon County,"123.39
"
Bukbang,ºÏ¹æ¸é,"İÁÛ°Øü
",Gangwon,Hongcheon County,"146.44
"
Nae,³»¸é,"Ò®Øü
",Gangwon,Hongcheon County,"447.95
"
Seo,¼­¸é,"à¤Øü
",Gangwon,Cheorwon County,"74.33
"
Geunnam,±Ù³²¸é,"ĞÎÑõØü
",Gangwon,Cheorwon County,"129.13
"
Geunbuk,±ÙºÏ¸é,"ĞÎİÁØü
",Gangwon,Cheorwon County,"23.73
"
Geundong,±Ùµ¿¸é,"ĞÎÔÔØü
",Gangwon,Cheorwon County,"19.71
"
Wonnam,¿ø³²¸é,"êÀÑõØü
",Gangwon,Cheorwon County,"77.99
"
Wondong,¿øµ¿¸é,"êÀÔÔØü
",Gangwon,Cheorwon County,"61.08
"
Imnam,ÀÓ³²¸é,"ìòÑõØü
",Gangwon,Cheorwon County,"16.79
"
Ucheon,¿ìÃµ¸é,"éêô¹Øü
",Gangwon,Hoengseong County,"94.80
"
Anheung,¾ÈÈï¸é,"äÌıéØü
",Gangwon,Hoengseong County,"96.35
"
Dunnae,µĞ³»¸é,"ÔêÒ®Øü
",Gangwon,Hoengseong County,"128.04
"
Gapcheon,°©Ãµ¸é,"Ë£ô¹Øü
",Gangwon,Hoengseong County,"123.35
"
Cheongil,Ã»ÀÏ¸é,"ôçìíØü
",Gangwon,Hoengseong County,"133.63
"
Gonggeun,°ø±Ù¸é,"ÍëĞÆØü
",Gangwon,Hoengseong County,"129.3
"
Seowon,¼­¿ø¸é,"ßöêÂØü
",Gangwon,Hoengseong County,"123.43
"
Gangrim,°­¸²¸é,"Ë»×ùØü
",Gangwon,Hoengseong County,"96.37
"
Mitan,¹ÌÅº¸é,"Ú¸÷¨Øü
",Gangwon,Pyeongchang County,"109.43
"
Bangnim,¹æ¸²¸é,"Û»×ùØü
",Gangwon,Pyeongchang County,"120.85
"
Daehwa,´ëÈ­¸é,"ÓŞûúØü
",Gangwon,Pyeongchang County,"166.6
"
Bongpyeong,ºÀÆò¸é,"ÜïøÀØü
",Gangwon,Pyeongchang County,"217.41
"
Yongpyeong,¿ëÆò¸é,"×£øÀØü
",Gangwon,Pyeongchang County,"135.43
"
Jinbu,ÁøºÎ¸é,"òÒİ£Øü
",Gangwon,Pyeongchang County,"331.06
"
Daegwallyeong,´ë°ü·É¸é,"ÓŞÎ¼ÖºØü
",Gangwon,Pyeongchang County,"221.63
"
